JugadorX,JugadorO,Resultado,Turnos,Ancho,Alto,K,H,NodosX,PodasX,ProfundidadX,TiempoX,MemoriaX,NodosO,PodasO,ProfundidadO,TiempoO,MemoriaO
Random,Random,Empate,36,6,6,5,4,0,0,0,0,0,0,0,0,0,0
Random,MinMax,Gana O,10,6,6,5,4,0,0,0,0,0,4095119,0,4,11133.5,196565712
Random,NegaMax,Gana O,10,6,6,5,4,0,0,0,0,0,4095119,0,4,11548.4,196565712
Random,AlphaBeta,Gana O,24,6,6,5,4,0,0,0,0,0,668777,41632,4,2747.93,32101296
MinMax,Random,Gana X,9,6,6,5,4,4659243,0,4,12333.6,223643664,0,0,0,0,0
MinMax,MinMax,Empate,36,6,6,5,4,5810422,0,4,16469.8,278900256,5050556,0,4,13828.5,242426688
MinMax,NegaMax,Empate,36,6,6,5,4,5810422,0,4,17049.5,278900256,5050556,0,4,14543.1,242426688
MinMax,AlphaBeta,Empate,36,6,6,5,4,5810422,0,4,16268.6,278900256,320272,25214,4,1008.87,15373056
NegaMax,Random,Gana X,9,6,6,5,4,4659243,0,4,12344.3,223643664,0,0,0,0,0
NegaMax,MinMax,Empate,36,6,6,5,4,5810422,0,4,16109.2,278900256,5050556,0,4,13720.8,242426688
NegaMax,NegaMax,Empate,36,6,6,5,4,5810422,0,4,16739,278900256,5050556,0,4,14164.2,242426688
NegaMax,AlphaBeta,Empate,36,6,6,5,4,5810422,0,4,16581.7,278900256,320272,25214,4,1039.49,15373056
AlphaBeta,Random,Gana X,9,6,6,5,4,394850,26700,4,1487.04,18952800,0,0,0,0,0
AlphaBeta,MinMax,Empate,36,6,6,5,4,570033,37812,4,1956.31,27361584,5050556,0,4,14382.4,242426688
AlphaBeta,NegaMax,Empate,36,6,6,5,4,570033,37812,4,1923,27361584,5050556,0,4,14605.3,242426688
AlphaBeta,AlphaBeta,Empate,36,6,6,5,4,570033,37812,4,2165.07,27361584,320272,25214,4,1297.14,15373056
MinMax,AlphaBeta,Gana X,7,4,4,3,2,678,0,2,1.49846,32544,515,0,2,1.02449,24720
